Ticker,AdjClose,SMA200,DeltaToSMA200,PctBelow,WeeklyMean,Return_5d,Return_21d,Return_63d,Vol_20d,52wHigh,52wLow,PctFrom52wHigh,PctFrom52wLow,SMA200_Slope_20d,Name,Universe
MCHI,57.40999984741211,60.50861783981323,-3.098617992401124,-5.1209531848904755,57.35499954223633,0.011451753789645691,0.028300160568480726,-0.0599312242623492,0.18003717277185896,66.18109893798828,51.54435348510742,-13.253178371659702,11.379803927503772,0.5069994590810145,MSCI China,INDICES
^HSI,26095.880859375,25926.00068359375,169.88017578125073,0.6552502171642383,26095.880859375,0.004534999923312633,0.054345410705024966,-0.025018706290874215,0.1959964464662463,27968.08984375,21909.759765625,-6.694089567197881,19.106193488792854,0.7481680907266863,Hang Seng Index,INDICES
^STOXX50E,5869.6298828125,5683.6019995117185,186.02788330078147,3.2730631616493033,5816.619873046875,0.00158866049516182,0.023883978573478792,-0.02295125404563625,0.2420121031113555,6173.31982421875,5160.22021484375,-4.919394265219079,13.747662666180037,1.0251086212428095,EURO STOXX 50,INDICES
^FTSE,10219.1103515625,9828.927548828126,390.1828027343745,3.969739331132782,10219.1103515625,-0.009881627120414516,-0.014056176276469046,-0.011844324131583983,0.14587230663426995,10910.599609375,8531.599609375,-6.337775031340476,19.779535133519023,1.6763432024814673,FTSE 100,INDICES
^DJI,49292.71875,47255.2126171875,2037.5061328125012,4.311706624448508,49117.30859375,0.0030684399953133656,0.056199842494100594,0.0010505570776633277,0.15026352286209824,50188.140625,40829.0,-1.7841304018223925,20.729674373606997,1.056173470385291,Dow Jones Industrial Average,INDICES
