Ticker,AdjClose,SMA200,DeltaToSMA200,PctBelow,WeeklyMean,Return_5d,Return_21d,Return_63d,Vol_20d,52wHigh,52wLow,PctFrom52wHigh,PctFrom52wLow,SMA200_Slope_20d,Name,Universe
AMS.MC,49.68000030517578,63.39329393386841,-13.713293628692625,-21.632088786864855,49.60499954223633,-0.03006639747803974,0.04501471073698449,-0.20425435946342263,0.3774060361947599,73.4661865234375,46.63999938964844,-32.37705309594823,6.518012339858781,-3.1199533285283354,"Amadeus IT Group, S.A.",IBEX35
GRF.MC,8.84000015258789,11.199943981170655,-2.3599438285827645,-21.071032431504143,8.823999881744385,-0.04453088077266998,-0.1963636224920099,-0.19999999999999996,0.3348598801152164,13.358515739440918,7.304434299468994,-33.824982318298616,21.022378875124215,0.08644648516082931,"Grifols, S.A.",IBEX35
FDR.MC,19.479999542236328,23.138886203765868,-3.6588866615295395,-15.812717298959933,19.489999771118164,-0.029880497198676692,-0.19703217813472473,-0.16323028489380742,0.4039792949740705,25.959999084472656,18.003854751586914,-24.96147831573763,8.199048542753328,-0.1406946864120684,"Fluidra, S.A.",IBEX35
COL.MC,5.005000114440918,5.500662159919739,-0.495662045478821,-9.010952337528277,5.009999990463257,-0.04393505505396822,-0.06970260074780121,-0.05028460482821606,0.29739506248655234,6.090000152587891,4.790582180023193,-17.816092134019268,4.475822068387658,-0.9198523805924674,"Colonial SFL, Socimi S. A.",IBEX35
CLNX.MC,26.479999542236328,28.71269976615906,-2.2327002239227305,-7.776002403487681,25.925000190734863,-0.10751602716059305,-0.14220930280694122,0.01118143833311147,0.48270997237755675,35.13516616821289,24.589326858520508,-24.63391402374232,7.688997322269842,-1.3085810212764226,"Cellnex Telecom, S.A.",IBEX35
IAG.MC,4.144999980926514,4.467019096612931,-0.32201911568641695,-7.2088143955011175,4.1584999561309814,0.008025289995731377,-0.15803369901181474,-0.14021989304051186,0.5859568570453618,5.236000061035156,2.556211471557617,-20.83651771182279,62.15403252223004,1.113471427994206,International Consolidated Airlines Group S.A.,IBEX35
TEF.MC,3.6760001182556152,3.942350149154663,-0.26635003089904785,-6.7561231453821975,3.615000009536743,0.01462881950949746,0.007399339366867652,0.07516824060821503,0.3790287577810024,4.68330717086792,3.2360000610351562,-21.50845579547217,13.597034886325332,-1.6796257169592432,"Telefónica, S.A.",IBEX35
RED.MC,14.789999961853027,15.860209670066833,-1.070209708213806,-6.747765196532207,14.619999885559082,-0.03206804840845923,-0.08364309038705708,-0.0081876562253681,0.3150339558257719,18.42986297607422,14.350000381469727,-19.74981050562605,3.0661990849246035,-1.4386025623828291,"Redeia Corporación, S.A.",IBEX35
ANE.MC,20.8799991607666,22.253940143585204,-1.3739409828186027,-6.17392234343116,20.6899995803833,-0.027932979248437184,-0.024299087244534445,-0.037788090937457386,0.4897670062594476,25.600000381469727,14.429008483886719,-18.43750449363135,44.70848211146239,1.0881020841526867,"Corporación Acciona Energías Renovables, S.A.",IBEX35
NTGY.MC,25.200000762939453,25.971215600967408,-0.7712148380279551,-2.969498424244832,25.329999923706055,-0.016393445063857093,-0.02325575549859793,0.007194256669964538,0.3210046017835938,27.540000915527344,22.519800186157227,-8.496732297741405,11.90152911938236,0.1838349244083437,"Naturgy Energy Group, S.A.",IBEX35
SAB.MC,3.0420000553131104,3.1189703929424284,-0.07697033762931804,-2.467812384608903,3.040000081062317,0.006285164867275483,-0.09003885302902859,-0.08041113221578355,0.3152474325884042,3.446000099182129,2.089797258377075,-11.723738602471412,45.564362433679825,1.2965930385587576,"Banco de Sabadell, S.A.",IBEX35
MAP.MC,3.7219998836517334,3.815720465183258,-0.09372058153152452,-2.4561700047653567,3.7079999446868896,-0.0016094533480127682,-0.07135729059406559,-0.13199631741162832,0.2528140859910841,4.315999984741211,2.473391532897949,-13.762745671675303,50.48162954171887,1.1290839749304338,"Mapfre, S.A.",IBEX35
BKT.MC,13.204999923706055,12.997055139541626,0.20794478416442885,1.599937693053155,13.230000019073486,0.005329249608256648,-0.0893103500892376,-0.0657941485756417,0.2526345031234767,14.789999961853027,8.187005043029785,-10.716700758857812,61.29219237440762,1.9428631865847867,"Bankinter, S.A.",IBEX35
ITX.MC,49.81999969482422,48.685093307495116,1.134906387329103,2.3311167961844736,49.959999084472656,-0.030739334321988054,-0.13266015170727297,-0.11289174091548793,0.3186268631596568,57.91999816894531,40.42806625366211,-13.984804437483621,23.231221058740005,1.1789160426608936,"Industria de Diseño Textil, S.A.",IBEX35
AENA.MC,25.229999542236328,24.299474925994872,0.9305246162414562,3.8294021540605794,25.09999942779541,-0.029988492110022524,-0.07953302872351542,0.058305343152338374,0.20989684435899936,28.809999465942383,19.10458755493164,-12.42624085411087,32.06251885675218,0.7700992378615545,"Aena S.M.E., S.A.",IBEX35
FER.MC,54.220001220703125,52.15289039611817,2.067110824584958,3.9635594669529928,54.28000068664551,-0.04272595683303615,-0.12037635046101891,-0.036944903100251225,0.28213653063328964,63.15999984741211,36.57402801513672,-14.154526042284798,48.24727863789941,2.479889504772892,Ferrovial SE,IBEX35
UNI.MC,2.5220000743865967,2.417211375236511,0.10478869915008548,4.335106984172299,2.527999997138977,0.017756315615022222,-0.08357558548782895,-0.08821401127187178,0.33148655052381726,2.9739999771118164,1.341774821281433,-15.198382858233138,87.96000896618517,2.8779813030298085,"Unicaja Banco, S.A.",IBEX35
IDR.MC,46.63999938964844,44.667241458892825,1.9727579307556127,4.416565398539629,47.65999984741211,-0.18318737940445562,-0.10907352914815005,-0.03276652407831793,0.973526631953832,64.5,24.47378158569336,-27.689923426901654,90.57128227749153,5.47603010296922,"Indra Sistemas, S.A.",IBEX35
