Ticker,AdjClose,SMA200,DeltaToSMA200,PctBelow,WeeklyMean,Return_5d,Return_21d,Return_63d,Vol_20d,52wHigh,52wLow,PctFrom52wHigh,PctFrom52wLow,SMA200_Slope_20d,Name,Universe
TEAM,68.31500244140625,147.10587493896483,-78.79087249755858,-53.56065658849411,68.31500244140625,0.04906326105755454,-0.17203974460438343,-0.5585745356278835,0.46913975879908676,229.8300018310547,65.12000274658203,-70.27585524207419,4.906326105755454,-8.459660476343,Atlassian Corporation,NASDAQ100
MSTR,124.93000030517578,253.0634503173828,-128.13345001220702,-50.63293409281617,124.93000030517578,-0.008728068592997462,-0.10643013742405527,-0.20507764447643695,0.522384145991837,455.8999938964844,106.98999786376953,-72.59706032513304,16.767924852423377,-8.900526832835032,Strategy Inc,NASDAQ100
ZS,139.6300048828125,250.13412521362304,-110.50412033081054,-44.17794662620954,139.6300048828125,0.04858817244493774,-0.13787355461465767,-0.366958334105831,0.4398589856943899,336.2699890136719,133.16000366210938,-58.476816413987066,4.858817244493774,-5.1190775863828915,"Zscaler, Inc.",NASDAQ100
CSGP,40.7599983215332,70.64695007324218,-29.886951751708978,-42.30465960770299,40.7599983215332,0.02489308152814651,-0.16663262218983899,-0.3795098674582933,0.3270068617748848,96.83000183105469,39.630001068115234,-57.9056102956089,2.851368213378924,-4.6729797249252965,"CoStar Group, Inc.",NASDAQ100
WDAY,129.67010498046875,206.5587003326416,-76.88859535217284,-37.22360531333304,129.67010498046875,0.04421086053954659,-0.11896921162297203,-0.369891106414616,0.375573412540065,274.7099914550781,124.18000030517578,-52.797455857489986,4.421086053954659,-5.385536851871098,"Workday, Inc.",NASDAQ100
TRI,90.58000183105469,143.776579246521,-53.19657741546632,-36.99947355421139,90.58000183105469,0.012859236519675576,-0.17233187307766307,-0.2777144229622105,0.3761440825631314,210.94461059570312,80.86000061035156,-57.05981699401625,12.02077806991606,-6.405217358931592,Thomson Reuters Corporation,NASDAQ100
AXON,413.7850036621094,637.9373744201661,-224.1523707580567,-35.13704945752602,413.7850036621094,-0.03757500741396713,-0.27468490114591904,-0.26562251362580447,0.4795599731110453,870.969970703125,399.6499938964844,-52.49147300359104,3.5368472367063752,-4.296593353002653,"Axon Enterprise, Inc.",NASDAQ100
INTU,416.5199890136719,623.1176287841797,-206.59763977050784,-33.15547983670738,416.5199890136719,0.00019207225962136754,-0.1076930067289823,-0.3370713108481216,0.371220775168843,804.435546875,358.7099914550781,-48.22208060897708,16.116082332720126,-4.618857065254245,Intuit Inc.,NASDAQ100
DASH,155.3800048828125,223.3393997192383,-67.95939483642579,-30.428753243654317,155.3800048828125,0.05989084866133787,-0.15315016077531418,-0.2930524153548174,0.39354438184890944,281.739990234375,146.60000610351562,-44.849857929804585,5.989084866133787,-2.3295091314418204,"DoorDash, Inc.",NASDAQ100
PYPL,45.70000076293945,61.367310237884524,-15.667309474945071,-25.53038321903346,45.70000076293945,0.04840561144678723,-0.04072205397908801,-0.21158639467100004,0.3297390322917312,77.80403137207031,38.9620361328125,-41.26268272090512,17.2936666019168,-4.178502507331228,"PayPal Holdings, Inc.",NASDAQ100
ADBE,244.2100067138672,327.0715493774414,-82.8615426635742,-25.33437800423044,244.2100067138672,0.03989955085204011,-0.1332078683231558,-0.267296682694271,0.3644232456337904,420.67999267578125,234.83999633789062,-41.94874703678142,3.989955085204011,-4.657524994270402,Adobe Inc.,NASDAQ100
ADP,204.3300018310547,263.08511154174806,-58.755109710693375,-22.333118497802083,204.3300018310547,0.015304356924495277,-0.07490674091930327,-0.18531216434207476,0.22872601807659249,318.7930908203125,201.25,-35.9051347991023,1.5304356924495277,-3.8288795022174638,"Automatic Data Processing, Inc.",NASDAQ100
CPRT,32.845001220703125,42.23487510681152,-9.389873886108397,-22.232512496749457,32.845001220703125,0.012796821203270525,-0.13611255062475447,-0.13039447120388392,0.27496324983350384,63.84000015258789,32.43000030517578,-48.55106337374957,1.2796821203270525,-4.191288900894008,"Copart, Inc.",NASDAQ100
PAYX,91.74749755859375,117.50549011230468,-25.757992553710935,-21.92067156104195,91.74749755859375,0.000736226583696542,-0.06741715673908288,-0.14639460008444116,0.27780354942180385,155.4427490234375,87.38999938964844,-40.97666302545887,4.986266391325178,-4.824927241856669,"Paychex, Inc.",NASDAQ100
VRSK,184.60000610351562,235.9845361328125,-51.38453002929688,-21.774532717846217,184.60000610351562,0.01012315241321815,-0.12381755943209394,-0.16266742486969132,0.31881127842775797,318.8477783203125,169.04212951660156,-42.10403250228465,9.203549808206901,-4.710075672857695,"Verisk Analytics, Inc.",NASDAQ100
ROP,359.44000244140625,458.2840077209473,-98.84400527954102,-21.568285956800814,359.44000244140625,0.043609512885706136,-0.017977123571849107,-0.17282644779934442,0.19431424770100403,579.8775634765625,315.5299987792969,-38.01450080488687,13.916269081223875,-4.457608257651657,"Roper Technologies, Inc.",NASDAQ100
MSFT,372.510009765625,474.7481491088867,-102.23813934326171,-21.53523705888376,372.510009765625,0.04411811877862282,-0.09294337097227479,-0.21055474881106961,0.21729919421985658,539.8252563476562,351.86627197265625,-30.994334669342983,5.8669271360492825,-1.6365960505578814,Microsoft Corporation,NASDAQ100
MELI,1710.4849853515625,2154.6898278808594,-444.2048425292969,-20.615720962778806,1710.4849853515625,0.0693739149653354,-0.03924768056736683,-0.13336118575877243,0.4018861770585449,2613.6298828125,1599.52001953125,-34.55519480398168,6.93739149653354,-3.6743457043466154,"MercadoLibre, Inc.",NASDAQ100
APP,411.2149963378906,516.1619503784179,-104.94695404052732,-20.332175582409107,411.2149963378906,0.07873815102229886,-0.19141301260032262,-0.3349479372058095,0.6788649176610744,733.5999755859375,219.3699951171875,-43.94560932074092,87.45270797777948,0.9874787345779179,AppLovin Corporation,NASDAQ100
QCOM,125.2699966430664,156.6197657775879,-31.349769134521495,-20.01648321900863,125.2699966430664,-0.014475682152858993,-0.08562046245936927,-0.2711625948500439,0.20353100069990693,185.53468322753906,121.80601501464844,-32.48162852147934,2.8438510429894537,-1.1532598817221351,QUALCOMM Incorporated,NASDAQ100
SNPS,396.7074890136719,486.3359391784668,-89.62845016479491,-18.429328977043724,396.7074890136719,0.042677445635325384,-0.10308048844133755,-0.17424862011219,0.3544504845552637,645.3499755859375,380.4700012207031,-38.52831734385885,4.267744563532538,-1.4585332675475793,"Synopsys, Inc.",NASDAQ100
ADSK,238.21499633789062,286.6621248626709,-48.44712852478028,-16.90042887527938,238.21499633789062,0.03643839250540104,-0.0980804151832696,-0.16920103508366546,0.26588338116088767,326.7900085449219,218.63999938964844,-27.104565589818318,8.953072174756404,-1.788351074258998,"Autodesk, Inc.",NASDAQ100
SHOP,118.25499725341797,141.07682479858397,-22.821827545166002,-16.176879212974082,118.25499725341797,0.05726418298323721,-0.12267228174434497,-0.2477417331480406,0.4532656174288234,179.00999450683594,76.88999938964844,-33.93944423091857,53.79763063093277,1.044000374781251,Shopify Inc.,NASDAQ100
ALNY,330.32000732421875,393.34904998779297,-63.02904266357422,-16.02369261233254,330.32000732421875,0.04083697558247468,0.03060746079589638,-0.17455082529848187,0.3898249755687995,491.2200012207031,224.32000732421875,-32.75517965405336,47.25392142431322,0.5016793989497614,"Alnylam Pharmaceuticals, Inc.",NASDAQ100
CEG,275.95001220703125,328.3590193939209,-52.40900718688965,-15.960885522080448,275.95001220703125,-0.08471252397961626,-0.16788690742403312,-0.24554319783393197,0.5576471545017517,402.947021484375,170.09780883789062,-31.51704876971483,62.23019807975398,-0.027055129457598248,Constellation Energy Corporation,NASDAQ100
TTWO,197.2675018310547,234.46758735656738,-37.20008552551269,-15.865768887253717,197.2675018310547,0.039946751500459676,-0.07181337710396185,-0.2159479449698699,0.26635917041331536,262.2900085449219,189.69000244140625,-24.79031018931509,3.9946751500459676,-1.2352409112611928,"Take-Two Interactive Software, Inc.",NASDAQ100
DDOG,117.23999786376953,139.30260063171386,-22.062602767944327,-15.837897259558787,117.23999786376953,0.0241089659844842,-0.04184376202225093,-0.12357035120536675,0.48601106610251454,199.72000122070312,87.0,-41.297818372125896,34.75861823421784,0.3530661726614648,"Datadog, Inc.",NASDAQ100
META,577.0,683.3809790039063,-106.3809790039063,-15.566862741624277,577.0,0.09754247918010495,-0.1257641243772496,-0.11210767975545877,0.4720790761037168,788.1489868164062,483.1526794433594,-26.79049143605534,19.423947035699406,-0.994119402884952,"Meta Platforms, Inc.",NASDAQ100
